who,date,migrt,chess_x,chess_y
35135545,20190401,20190707,40,57
35135545,20190501,20190707,42,55
35135545,20190101,20190707,43,56
35135545,20190901,20190707,76,23
35135899,20190301,20190805,89,45
35135899,20190701,20190805,89,44
35135899,20191101,20190805,71,48
35135899,20191201,20190805,71,48
35135899,20190901,20190805,71,48
35135899,20190101,20190805,90,44
35135899,20190501,20190805,90,44
35135899,20190801,20190805,70,46
35135899,20190401,20190805,89,43
35135899,20190201,20190805,89,44
35135899,20190601,20190805,90,44
35135899,20191001,20190805,72,47
35137891,20190401,20190708,88,61
35137891,20190801,20190708,91,81
35137891,20191201,20190708,92,79
35137891,20190901,20190708,90,79
35137891,20190501,20190708,92,60
35137891,20190101,20190708,88,60
35137891,20191001,20190708,90,79
35137891,20190601,20190708,87,63
35137891,20190201,20190708,88,61
35137891,20190301,20190708,90,61
35137891,20190701,20190708,91,81
35137891,20191101,20190708,92,79
35143933,20190301,20190704,69,37
35143933,20190901,20190704,63,62
35143933,20190701,20190704,63,62
35143933,20190101,20190704,70,37
35143933,20191101,20190704,62,62
35143933,20190501,20190704,69,37
35143933,20190801,20190704,63,62
35143933,20191201,20190704,62,62
35143933,20190401,20190704,69,37
35143933,20191001,20190704,63,62
35143933,20190601,20190704,69,38
35143933,20190201,20190704,70,37
35156439,20191101,20190719,118,45
35156439,20190801,20190719,118,45
35156439,20190301,20190719,75,25
35156439,20190701,20190719,73,26
35156439,20191201,20190719,119,46
35156439,20190401,20190719,75,25
35156439,20191001,20190719,117,45
35156439,20190601,20190719,75,27
35156439,20190201,20190719,75,27
35156439,20190901,20190719,117,45
35156439,20190501,20190719,75,27
35156439,20190101,20190719,75,26
35160149,20191001,20190622,13,131
35160149,20190601,20190622,25,121
35160149,20190801,20190622,13,130
35160149,20191201,20190622,13,131
35160149,20190401,20190622,25,122
35160149,20190901,20190622,14,129
35160149,20190501,20190622,25,122
35160149,20190101,20190622,26,122
35160149,20190301,20190622,25,122
35160149,20191101,20190622,14,130
35160149,20190701,20190622,13,130
35160149,20190201,20190622,25,122
35164987,20190501,20190701,112,136
35164987,20190801,20190701,225,152
35164987,20190401,20190701,112,136
35164987,20190101,20190701,112,136
35164987,20190201,20190701,113,137
35164987,20190601,20190701,112,136
35164987,20190301,20190701,112,136
35164987,20190701,20190701,225,152
35164987,20190901,20190701,225,152
